,user_names,comment_ratings,comment_dates,comment_contents
0,未注销,50,2020-12-07,很好看
1,逆伦,50,2020-12-07,"Bodie a real soldier剧中角色的命运，残酷的事实，无法逃避，无法美饰"
2,柴四,50,2020-12-06,世界朝一个方向，人朝一个方向
3,嘎玛丹曾,50,2020-12-02,完美
4,蝙蝠俠,40,2020-11-30,4.5星，论好看程度不如上季，这一季的主角在孩子们，编剧挖的实在太深了，看的真是心闷，并且无奈。
5,曹二,50,2020-11-26,四个孩子里Nay不是最勇敢的，也未必是最聪明的，但最后只有他得救了（并不是说他不值得）。这才是现实，公平从不能左右命运。
6,盗火线,50,2020-11-25,这一季最灰色最让人绝望
7,躲猫猫社社长,50,2020-11-24,通往地狱的窄门
8,客从何处,50,2020-11-24,美剧扛把子！所有电视剧扛把子！
9,Roogle,50,2020-11-23,第四季就到中年了，虽然一事无成却也渴望给下一代最好的关爱少走弯路。然而走的人多了，路更弯了，连最简单的呵护也变得艰难无比。如果有夹缝中生存的如鱼得水的能力，当初自己也就不会走弯路了
10,kinsiong,50,2020-11-18,再穷不能穷教育。这个故事清楚的告诉观众，唯有通过教育，才有可能扭转一个底层社会孩子的未来。
11,皎雒,50,2020-11-15,能看到现在的必然是真粉，能沉的下去看的了，一整部剧都没有波澜，但是反映的问题无敌深刻。
12,屁股花,50,2020-11-14,《清明上河图》、《活着》
13,陆支羽,40,2020-11-09,4.0。
14,是余不是宇,50,2020-11-08,Bodie怎么就没了啊 难受
15,轩辕York,50,2020-11-08,心情尤其复杂的一集。尤其想到第五季几个孩子剧终结局，拳拳都是命中注定的“意外”，以及那些扭曲后的政治利益，再想想我自己，真是……五味杂陈，百感交集。
16,戚戚,50,2020-11-07,一步步坠入深渊的绝望啊
17,🌈少女yuri、,50,2020-11-07,看完最愤怒的一季
18,静心读书,50,2020-11-06,相比于前几季的无奈，这季视角转移到教育系统就让人绝望了，从上到下所有人都在努力想让它变好，但是依然鸟用没有。第一季到现在的上一代街头小子还活着的越来越少，新生代又源源不断的去补充。虽然还有一季，但已经是我心中的美剧第一名了。
19,禅君,0,2020-11-06,美剧NO.1
20,谨记珍惜,50,2020-11-05,如果一个人能心想事成，谁想去拼命
21,fien,50,2020-11-02,"""no one wins.one side just loses more slowly."""
22,双刀李老大,50,2020-10-29,我很愤怒也很无力。孩子们本不应该过着那种生活。
23,吮指原味田鸡,50,2020-10-28,堪称伟大。
24,卡布拉达,50,2020-10-27,整个世界无可挽回的腐烂下去...
25,郊游在天光废墟,50,2020-10-27,哭了。孩子们迟早会回到街头，bodie死在了街头。西区物是人非，黄金时代不会再有了。第四季，我才拿到了巴尔的摩pass卡，重案组也有了自己的路，编剧·真社会学·everyone is trapped in their life.
